,filename,keywords,score,Unnamed: 0,Name,Url,Rating,True Rating,#Ratings,Price,True Price,Display Size,True Display Size,Refresh Rate,Resolution,True Resolution,Response Time,Ports,Num Ports,Curved,Speakers,Height Adjustable,Num Features,Manufacturer,Valid
0,product32,"TV, Xbox Series X, 4k, 60hz, 2560x1440p, 120hz",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
1,product32,"-4ms response time -144hz -24"" -Acer -GN246HL",2.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
2,product32,"ASUS, Amazon, LCD, NVidia G-SYNC, variable refresh",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
3,product32,-1440p at 144hz -165hz using display cable -good color spectrum -120% sRBG -HDR 10 -HDR for gaming -console setting -matte finish,5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
4,product32,"ASUS, monitor, resolution, refresh rate, eye strain reduction, menu, joystick, picture, 1080 resolution, curve, screen size, gaming, movies, speakers",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
5,product32,"ELMB, TFT Central, IPS, sRGB, Brightness, Contrast, dead pixel",2.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
6,product32,"-ASUS VG248QE-32"" monitor-smooth-fast-reproduces picture accurately-good recommended monitor settings-calibration-accurate color/white/black reproduction-for video in both movies/games",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
7,product32,"Apex Legends, Asus, monitor, FPS, plasma",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
8,product32,"1080, upgrade, pretty good, not the brightest, settings, on time, no issues, loving it",5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
9,product32,-looks nice -scenery mode -brightness -gaming -damage -Asus,5.0,32,"ASUS TUF Gaming 32"" 1080P Curved Monitor (VG328H1B) - Full HD, 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, Adaptive-Sync, FreeSync Premium, VESA Mountable, HDMI, Tilt Adjustable",https://www.amazon.com/ASUS-VG328H1B-Supports-Adaptive-sync-FreeSync/dp/B087V5RLFB/ref=sr_1_35?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1656556886&sprefix=computer+monitor%2Caps%2C192&sr=8-35,4.7/5 Stars,4.7,"6,502",$249.00,249.0,31.5 Inches,31.5,165 Hertz,1920x1080,2073600.0,1 Milliseconds,HDMI,1,True,False,False,1,Asus,True
